zcta19,year,avg_download_speed,avg_upload_speed,tot_hs_providers,res_hs_providers
30655,2020,149.1326,60.61198,3,3
30656,2020,158.7244,40.25077,2,2
30660,2020,218.4646,52.10685,2,2
30662,2020,33.4679,4.640812,3,3
30663,2020,71.81718,4.370181,2,2
30664,2020,265.5,64.325,1,1
30665,2020,21.05556,3.075,0,0
30666,2020,196.6843,36.4444,2,2
30667,2020,21.96745,5.615479,0,0
30668,2020,250.9189,60.46542,1,1
30669,2020,126.684,15.28456,2,2
30673,2020,259.8067,62.80649,1,1
30677,2020,172.7405,21.49457,3,3
30678,2020,33.7279,17.54749,1,1
30680,2020,228.0222,68.04059,3,3
30683,2020,149.8111,34.57863,3,3
30701,2020,71.84134,31.47445,2,2
30705,2020,212.0435,48.41927,3,3
30707,2020,160.257,20.48555,4,4
30708,2020,97.96875,18.12229,1,1
30710,2020,309.1227,189.1926,3,3
30711,2020,163.5816,21.59822,2,2
30720,2020,359.5055,199.5311,5,5
30721,2020,354.9146,198.7486,5,5
30725,2020,1187.244,1043.985,2,2
30726,2020,206.3208,8.713963,1,1
30728,2020,171.573,49.52064,4,4
30730,2020,95.18587,22.41753,1,1
30731,2020,121.0466,28.03449,4,4
30733,2020,44.03335,3.61698,0,0
30734,2020,22.83565,3.88179,1,1
30735,2020,94.30384,30.70823,4,4
30736,2020,298.129,107.1885,9,9
30738,2020,299.1084,191.4746,4,4
30739,2020,188.2925,33.50085,3,3
30740,2020,320.0125,177.2579,4,4
30741,2020,984.5382,829.7184,3,3
30742,2020,286.7492,134.7446,4,4
30746,2020,38.36058,3.736269,1,1
30747,2020,153.4791,44.94853,4,4
30750,2020,1410.846,1239.411,4,4
30751,2020,176.6897,8.096552,1,1
30752,2020,278.3701,112.3419,3,3
30753,2020,181.7069,24.865,5,5
30755,2020,314.3052,147.5654,4,4
30756,2020,354.5957,188.1362,2,2
30757,2020,174.9963,52.52786,3,3
30802,2020,66.83719,8.245951,1,1
30803,2020,53.03245,19.93521,1,1
30805,2020,54.73782,3.010779,0,0
30807,2020,19.57065,2.292522,0,0
30808,2020,56.31036,3.044997,0,0
30809,2020,309.4094,56.6095,4,4
30810,2020,29.13217,4.696419,2,2
30812,2020,42.33333,2.433333,0,0
30813,2020,167.9825,66.57236,4,4
30814,2020,48.76467,10.86636,2,2
30815,2020,98.92287,15.48713,3,3
30816,2020,50.39253,5.597497,1,1
30817,2020,247.4931,58.52181,1,1
30818,2020,39.03362,2.27591,0,0
30820,2020,30.54294,11.9438,1,1
30821,2020,19.5291,2.24956,0,0
30822,2020,48.17031,11.00879,1,1
30823,2020,40.1987,2.312891,0,0
30824,2020,51.4408,3.145384,4,4
30828,2020,20.89022,2.001342,1,1
30830,2020,98.60153,53.04803,1,1
30833,2020,31.05025,1.818747,0,0
30901,2020,219.3187,49.18158,3,3
30903,2020,220.3889,65.19089,2,2
30904,2020,278.8812,39.71738,2,2
30905,2020,46.00275,3.18382,2,2
30906,2020,198.2035,32.68713,3,3
30907,2020,283.7469,40.21979,4,4
30909,2020,261.6311,47.94443,4,4
30912,2020,215.0217,10.94052,1,1
31001,2020,27.4599,11.88965,1,1
31002,2020,256.6007,242.2433,1,1
31003,2020,23.54348,3.460913,0,0
31005,2020,233.0391,65.05097,4,4
31006,2020,23.0775,3.944312,1,1
31007,2020,28.15412,12.7327,0,0
31008,2020,161.8423,43.73466,4,4
31009,2020,21.55227,2.936489,0,0
31011,2020,30.30378,14.20343,0,0
31012,2020,22.16543,2.968642,0,0
31014,2020,31.04109,3.514534,2,2
31015,2020,138.9288,35.08923,2,2
31016,2020,20.28698,3.040089,0,0
31017,2020,26.70596,10.20134,0,0
