GEO_ID,NAME,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,
860Z200US35988,ZCTA5 35988,98,83,55,45,25,20,7,11,23,37,0,13,43,44,12,12,31,39,0,13,0,13,
860Z200US35989,ZCTA5 35989,302,173,156,95,156,95,0,13,0,13,0,13,146,90,78,71,0,13,53,61,15,24,
860Z200US35990,ZCTA5 35990,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36003,ZCTA5 36003,12,22,8,20,8,20,0,13,0,13,0,13,4,7,0,13,4,7,0,13,0,13,
860Z200US36005,ZCTA5 36005,15,24,0,13,0,13,0,13,0,13,0,13,15,24,0,13,15,24,0,13,0,13,
860Z200US36006,ZCTA5 36006,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36008,ZCTA5 36008,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36009,ZCTA5 36009,31,47,16,26,0,13,16,26,0,13,0,13,15,22,15,22,0,13,0,13,0,13,
860Z200US36010,ZCTA5 36010,244,122,136,84,0,18,124,87,7,11,5,8,108,60,57,62,21,22,16,18,14,17,
860Z200US36013,ZCTA5 36013,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36016,ZCTA5 36016,29,30,29,30,20,25,9,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36017,ZCTA5 36017,282,102,129,51,93,43,21,25,0,13,15,20,153,76,123,76,30,32,0,13,0,13,
860Z200US36020,ZCTA5 36020,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36022,ZCTA5 36022,123,88,69,60,0,20,41,50,0,20,28,32,54,54,9,15,21,35,24,38,0,20,
860Z200US36024,ZCTA5 36024,25,27,8,16,0,18,0,18,8,16,0,18,17,25,0,18,0,18,17,25,0,18,
860Z200US36025,ZCTA5 36025,94,69,75,66,42,55,14,20,12,20,7,15,19,25,0,18,4,8,15,24,0,18,
860Z200US36026,ZCTA5 36026,77,101,50,67,0,13,50,67,0,13,0,13,27,35,0,13,0,13,27,35,0,13,
860Z200US36027,ZCTA5 36027,278,112,115,44,69,39,40,31,0,20,6,11,163,78,80,70,41,49,42,47,0,20,
860Z200US36028,ZCTA5 36028,48,70,17,31,0,13,12,22,0,13,5,10,31,42,0,13,0,13,11,17,20,26,
860Z200US36029,ZCTA5 36029,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36030,ZCTA5 36030,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36031,ZCTA5 36031,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36032,ZCTA5 36032,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36033,ZCTA5 36033,47,42,5,8,5,8,0,13,0,13,0,13,42,37,5,8,28,33,0,13,9,15,
860Z200US36034,ZCTA5 36034,2,3,0,13,0,13,0,13,0,13,0,13,2,3,0,13,2,3,0,13,0,13,
860Z200US36035,ZCTA5 36035,83,59,4,7,0,13,0,13,4,7,0,13,79,58,0,13,37,46,34,34,8,8,
